host_name,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value
Noelle,90,10.0,Queens,40.76303,-73.77303,Entire home/apt,3,1.0,1 bath,1.0,110.0,6,5.0,5.0,4.83,5.0,5.0,5.0
Olu,100,4.0,Queens,40.6534,-73.74631,Entire home/apt,4,1.0,1 bath,2.0,130.0,8,4.13,4.0,3.88,4.5,4.5,3.75
Nick,100,5.0,Brooklyn,40.67708,-73.96174,Entire home/apt,4,1.0,1 bath,2.0,110.0,13,4.85,4.92,4.69,4.92,4.85,4.54
Camille,89,3.0,Manhattan,40.78484,-73.94756,Entire home/apt,4,1.0,1 bath,2.0,235.0,73,4.44,4.74,4.52,4.47,4.71,4.44
Stellamaris,82,7.0,Bronx,40.8757704648113,-73.85542788330437,Private room,1,1.0,1 bath,1.0,51.0,5,4.6,4.8,4.6,4.6,3.8,4.4
Cândida,100,2.0,Manhattan,40.79642,-73.94373,Entire home/apt,2,1.0,1 bath,1.0,90.0,2,5.0,5.0,5.0,5.0,5.0,5.0
The Flat Hotel,100,8.0,Manhattan,40.74345,-73.99156,Private room,2,1.0,1 shared bath,1.0,141.0,1,4.0,5.0,3.0,5.0,5.0,5.0
Tara,88,2.0,Brooklyn,40.68266,-73.92264,Entire home/apt,2,1.0,1 bath,0.0,92.0,11,4.91,4.91,4.91,5.0,4.73,4.64
Ewelina,100,3.0,Queens,40.71361802716413,-73.88351332503856,Entire home/apt,6,2.0,2 baths,2.0,196.0,47,4.85,4.81,4.83,4.91,4.72,4.81
Darina,89,16.0,Brooklyn,40.70262,-73.91975,Private room,4,4.0,4 baths,5.0,72.0,21,4.71,4.86,4.52,5.0,4.9,4.76
Gertrude,99,3.0,Queens,40.6951836,-73.8409908,Entire home/apt,5,1.0,1 bath,2.0,236.0,13,4.77,4.77,4.69,5.0,4.69,4.77
Michelle,100,1.0,Queens,40.74796,-73.90685,Entire home/apt,2,1.0,1 bath,1.0,130.0,110,4.91,4.95,4.88,4.95,4.73,4.81
Jamie,94,2.0,Brooklyn,40.69462,-73.94693,Private room,2,1.0,1 shared bath,1.0,150.0,65,4.72,4.75,4.71,4.98,4.58,4.62
Bobby And Ruth,83,1.0,Brooklyn,40.68512,-73.92291,Entire home/apt,3,1.0,1 bath,2.0,230.0,106,4.95,4.98,4.98,4.99,4.76,4.83
Will,89,13.0,Queens,40.757129561930206,-73.81944307851697,Entire home/apt,4,2.0,2 baths,2.0,145.0,1,5.0,5.0,4.0,5.0,4.0,5.0
Elodia,78,1.0,Manhattan,40.80041021264202,-73.96042232251061,Entire home/apt,7,1.0,1 bath,3.0,316.0,5,4.8,4.8,4.8,4.8,4.8,4.8
Shanique,100,3.0,Queens,40.67117089400595,-73.76053438510074,Private room,2,1.0,1 private bath,1.0,70.0,34,4.85,4.76,4.91,4.91,4.71,4.88
Yvelisse,88,3.0,Manhattan,40.854827,-73.9378464,Entire home/apt,4,1.0,1 bath,1.0,120.0,5,5.0,5.0,5.0,5.0,4.6,5.0
Sanyika,82,3.0,Bronx,40.851,-73.90303,Private room,1,1.0,1 shared bath,1.0,46.0,14,4.86,4.93,4.93,4.93,4.36,5.0
Kim,58,1.0,Queens,40.77276,-73.90479,Entire home/apt,5,1.0,1 bath,2.0,225.0,19,4.63,4.58,4.58,5.0,4.58,4.42
Ben,50,19.0,Brooklyn,40.67389,-73.96547,Entire home/apt,4,1.0,1 bath,1.0,155.0,13,5.0,5.0,4.92,4.92,5.0,4.69
Lisa,100,2.0,Brooklyn,40.68862,-73.90912,Entire home/apt,7,1.5,1.5 baths,3.0,175.0,175,4.83,4.89,4.74,4.93,4.71,4.79
Jeannie & Everett,100,1.0,Brooklyn,40.6882,-73.93636,Entire home/apt,4,1.0,1 bath,2.0,150.0,127,4.95,4.96,4.92,4.99,4.64,4.87
Urban Furnished,49,77.0,Manhattan,40.7662,-73.98865,Entire home/apt,3,1.0,1 bath,0.0,171.0,3,4.67,4.67,5.0,5.0,4.67,4.67
Tiffany,97,6.0,Brooklyn,40.67559934943594,-73.90873366175377,Private room,2,1.5,1.5 baths,1.0,136.0,5,5.0,5.0,5.0,5.0,4.8,4.8
Mary,83,1.0,Staten Island,40.63947,-74.08374,Entire home/apt,2,1.0,1 bath,2.0,92.0,4,5.0,5.0,5.0,5.0,5.0,5.0
Honora,100,2.0,Brooklyn,40.6866,-73.9756,Entire home/apt,2,1.0,1 bath,1.0,90.0,62,4.66,4.77,4.71,4.92,4.73,4.77
UltraDiamond,98,22.0,Queens,40.74676077099501,-73.94395114217257,Entire home/apt,3,1.0,1 bath,1.0,166.0,3,5.0,5.0,5.0,5.0,5.0,5.0
Matt,75,28.0,Manhattan,40.75496,-73.96233,Entire home/apt,6,2.0,2 baths,2.0,240.0,1,1.0,1.0,2.0,1.0,4.0,1.0
Mike @ New Age Tech,94,4.0,Brooklyn,40.67672,-73.89816,Entire home/apt,6,1.0,1 bath,2.0,125.0,52,4.69,4.75,4.63,4.77,4.19,4.65
Kaila,33,12.0,Bronx,40.86908,-73.90796,Private room,2,1.0,1 shared bath,1.0,55.0,4,4.5,4.5,4.25,4.5,4.75,4.75
Nice Stay NYC,65,16.0,Manhattan,40.7677499,-73.9837835,Entire home/apt,2,1.0,1 bath,1.0,479.0,3,5.0,5.0,5.0,4.67,5.0,4.67
