host_name,host_acceptance_rate,host_total_listings_count,neighbourhood,neighbourhood_group,latitude,longitude,room_type,max_capacity,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,rating,accuracy,cleanliness,communication,location,value
Julian,0,3.0,Bushwick,Brooklyn,40.69441,-73.92297,Private room,1,1.0,1 shared bath,1.0,79.0,14,4.79,4.79,4.86,5.0,4.36,4.79
Camille,89,3.0,East Harlem,Manhattan,40.78484,-73.94756,Entire home/apt,4,1.0,1 bath,2.0,235.0,73,4.44,4.74,4.52,4.47,4.71,4.44
Ana,100,5.0,Crown Heights,Brooklyn,40.67265,-73.94803,Private room,3,1.0,1 shared bath,1.0,109.0,81,4.48,4.7,4.26,4.63,4.51,4.64
Tiffany,100,1.0,Harlem,Manhattan,40.81205,-73.9434,Private room,2,1.0,1 private bath,1.0,99.0,103,4.87,4.9,4.87,4.99,4.73,4.81
Mingyue,98,2.0,Hell's Kitchen,Manhattan,40.7643934,-73.9895985,Private room,4,1.0,1 private bath,1.0,233.0,6,4.83,4.83,5.0,5.0,5.0,4.67
Shu Piao,86,1.0,Arrochar,Staten Island,40.59318,-74.07662,Entire home/apt,4,1.5,1.5 baths,3.0,104.0,20,4.95,5.0,4.9,4.9,4.65,4.75
Charisse,83,1.0,Crown Heights,Brooklyn,40.6772,-73.95288,Entire home/apt,4,1.0,1 bath,2.0,130.0,2,5.0,5.0,5.0,5.0,5.0,5.0
Mursheda,100,1.0,East Elmhurst,Queens,40.76276,-73.87183,Entire home/apt,2,1.0,1 bath,2.0,89.0,126,4.83,4.85,4.79,4.88,4.79,4.79
HostessWthemostest,100,3.0,Lower East Side,Manhattan,40.71746,-73.9834,Entire home/apt,4,1.0,1 bath,2.0,228.0,24,4.75,4.83,4.75,4.63,4.83,4.79
Natasha,94,20.0,Arverne,Queens,40.58921,-73.79508,Entire home/apt,8,2.0,2 baths,4.0,170.0,105,4.87,4.85,4.92,4.91,4.8,4.83
Linsey,93,2.0,Columbia St,Brooklyn,40.68487,-74.00168,Entire home/apt,4,1.0,1 bath,2.0,264.0,180,4.9,4.89,4.92,4.92,4.88,4.79
Philipp,50,1.0,Upper West Side,Manhattan,40.79268373013725,-73.96774792942705,Private room,1,1.0,1 shared bath,1.0,69.0,1,4.0,3.0,2.0,5.0,4.0,4.0
Hannah,100,2.0,Rosedale,Queens,40.65309,-73.73925,Private room,1,1.0,1 private bath,1.0,54.0,63,4.86,4.9,4.89,4.94,4.69,4.93
National,98,2.0,Murray Hill,Manhattan,40.74694,-73.97819,Entire home/apt,7,2.0,2 baths,2.0,462.0,8,4.88,4.88,4.75,4.63,5.0,4.88
Elite Services By G&G,98,6.0,East Harlem,Manhattan,40.79303,-73.94352,Entire home/apt,2,1.0,1 bath,0.0,191.0,12,4.83,4.83,4.83,5.0,4.58,4.42
Anastasia,39,5.0,Williamsburg,Brooklyn,40.70894,-73.95234,Entire home/apt,2,1.0,1 bath,0.0,98.0,124,4.64,4.84,4.72,4.93,4.55,4.69
Esmé,90,7.0,Harlem,Manhattan,40.80832,-73.9536,Entire home/apt,8,2.0,2 baths,3.0,190.0,96,4.9,4.88,4.88,4.98,4.85,4.85
Jozef,68,10.0,Hell's Kitchen,Manhattan,40.76629,-73.98666,Entire home/apt,2,1.0,1 bath,1.0,101.0,1,4.0,4.0,4.0,5.0,5.0,4.0
Lance,80,3.0,Bedford-Stuyvesant,Brooklyn,40.69539,-73.94954,Entire home/apt,1,1.0,1 bath,1.0,121.0,109,4.98,4.99,4.99,4.97,4.83,4.93
The Sunrise,97,6.0,Cypress Hills,Brooklyn,40.68054,-73.88688,Entire home/apt,4,1.0,1 bath,2.0,169.0,99,4.74,4.79,4.73,4.86,4.35,4.68
Michael,100,1.0,Arverne,Queens,40.59434,-73.79359,Shared room,2,1.0,1 shared bath,1.0,76.0,36,4.81,4.72,4.72,4.92,4.58,4.81
Renata,78,3.0,Williamsburg,Brooklyn,40.70994,-73.95879,Entire home/apt,3,1.0,1 bath,0.0,137.0,33,5.0,5.0,4.91,5.0,4.91,4.85
Sharon,100,1.0,Tompkinsville,Staten Island,40.63205,-74.09133,Entire home/apt,4,1.0,1 bath,1.0,89.0,132,4.86,4.92,4.88,4.92,4.86,4.85
Martin,80,6.0,Williamsburg,Brooklyn,40.7102,-73.96058,Entire home/apt,4,1.0,1 bath,2.0,90.0,15,4.67,4.47,4.33,4.73,5.0,4.2
Deborah,100,4.0,Gramercy,Manhattan,40.73576,-73.98224,Entire home/apt,4,1.0,1 bath,2.0,145.0,6,4.83,4.5,4.83,5.0,5.0,4.67
Luz,100,1.0,Jackson Heights,Queens,40.75011,-73.87544,Private room,2,1.0,1 shared bath,1.0,60.0,119,4.96,4.97,4.97,4.97,4.89,4.96
Alia,72,2.0,Crown Heights,Brooklyn,40.67197,-73.94006,Entire home/apt,4,2.0,2 baths,2.0,100.0,51,4.14,4.43,4.35,4.65,4.2,4.18
Sarah,0,2.0,Bedford-Stuyvesant,Brooklyn,40.68333053588867,-73.94183349609375,Entire home/apt,2,2.5,2.5 baths,2.0,249.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Jackson,100,1.0,Bushwick,Brooklyn,40.6921,-73.91649,Entire home/apt,4,2.0,2 baths,2.0,203.0,40,4.73,4.78,4.9,4.78,4.53,4.48
Bugra Han,96,81.0,Midtown,Manhattan,40.75398312340967,-73.9805774034026,Private room,4,1.0,1 private bath,2.0,158.0,11,4.18,3.64,4.09,4.55,4.91,4.09
Allison,50,1.0,Washington Heights,Manhattan,40.85300676659229,-73.93737774342299,Entire home/apt,2,1.0,1 bath,1.0,104.0,1,4.0,5.0,4.0,4.0,4.0,4.0
Charlene,100,4.0,East Flatbush,Brooklyn,40.64236,-73.93087,Entire home/apt,4,1.0,1 bath,2.0,130.0,144,4.79,4.83,4.72,4.89,4.49,4.76
Kat,0,2.0,Forest Hills,Queens,40.71283,-73.85309,Private room,1,2.0,2 shared baths,2.0,35.0,6,5.0,4.83,4.67,4.83,4.67,4.5
Lena,83,5.0,Bedford-Stuyvesant,Brooklyn,40.68717,-73.92016,Private room,1,3.5,3.5 baths,4.0,150.0,4,4.75,4.75,4.75,5.0,4.75,4.75
Lou,73,5.0,East New York,Brooklyn,40.67512,-73.89191,Entire home/apt,8,1.0,1 bath,3.0,300.0,5,5.0,4.8,4.8,5.0,4.0,5.0
George Steven,74,10.0,Upper West Side,Manhattan,40.78352,-73.97595,Entire home/apt,4,2.0,2 baths,2.0,155.0,9,5.0,5.0,4.56,5.0,4.78,4.89
Marios,78,18.0,Lower East Side,Manhattan,40.71949,-73.98334,Entire home/apt,4,1.0,1 bath,3.0,96.0,5,4.2,3.8,4.0,4.0,4.0,3.6
Shauna,97,8.0,Flushing,Queens,40.75982,-73.8164,Private room,2,1.0,1 private bath,1.0,88.0,47,4.87,4.91,4.89,4.98,4.68,4.85
Angelo,98,8.0,Ditmars Steinway,Queens,40.77384884274856,-73.9190548695037,Private room,2,1.0,1 shared bath,1.0,35.0,211,4.39,4.61,4.5,4.67,4.63,4.45
Meredith,39,3.0,Williamsburg,Brooklyn,40.71891014026751,-73.95683847960746,Entire home/apt,6,3.5,3.5 baths,3.0,750.0,7,5.0,5.0,4.86,5.0,5.0,5.0
Emmanuel,97,6.0,Williamsburg,Brooklyn,40.70866,-73.95203,Private room,1,1.0,1 bath,1.0,105.0,48,4.75,4.83,4.71,4.83,4.77,4.83
Matt,86,1.0,Greenpoint,Brooklyn,40.72283,-73.93921,Entire home/apt,4,1.0,1 bath,1.0,240.0,199,4.92,4.97,4.87,4.98,4.72,4.86
Jonathan,79,1.0,Gowanus,Brooklyn,40.67878,-73.99028,Private room,2,1.0,1 shared bath,1.0,53.0,9,4.67,4.89,5.0,5.0,4.89,4.89
Studioplus,99,27.0,Midtown,Manhattan,40.7478,-73.98865,Entire home/apt,4,1.0,1 bath,0.0,240.0,130,4.28,4.5,4.37,4.57,4.86,4.34
Studioplus,99,27.0,Midtown,Manhattan,40.74657,-73.98715,Entire home/apt,5,1.0,1 bath,0.0,214.0,139,4.33,4.52,4.42,4.5,4.79,4.31
Jennifer,67,2.0,Norwood,Bronx,40.87858,-73.87154,Private room,2,1.0,1 shared bath,1.0,54.0,47,4.74,4.77,4.74,4.83,4.4,4.62
G.D.,72,5.0,Flatlands,Brooklyn,40.6324263,-73.9228251,Entire home/apt,4,1.0,1 bath,2.0,229.0,2,5.0,5.0,4.5,5.0,5.0,5.0
Ashley,21,1.0,Harlem,Manhattan,40.80647205992109,-73.94800606655075,Private room,2,1.0,1 shared bath,1.0,80.0,12,4.92,4.92,4.5,5.0,4.58,4.83
Darina,89,16.0,Bedford-Stuyvesant,Brooklyn,40.68092029576777,-73.91262706769565,Private room,2,2.0,2 baths,4.0,65.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Bridge,65,16.0,Upper East Side,Manhattan,40.76048,-73.96175,Entire home/apt,2,1.0,1 bath,0.0,65.0,6,4.0,4.17,4.0,4.67,4.67,3.67
Michael,100,6.0,Harlem,Manhattan,40.80864,-73.9428,Entire home/apt,3,1.0,1 bath,1.0,91.0,265,4.76,4.85,4.47,4.93,4.77,4.8
Sara,100,2.0,Bedford-Stuyvesant,Brooklyn,40.69068,-73.94357,Entire home/apt,4,1.0,1 bath,1.0,98.0,210,4.88,4.93,4.88,4.95,4.74,4.84
Suzanne,98,1.0,Nolita,Manhattan,40.72468,-73.99495,Entire home/apt,2,1.0,1 bath,1.0,175.0,22,4.91,4.95,4.64,4.91,4.95,4.82
Haley,70,3.0,Financial District,Manhattan,40.70881425648131,-74.005537586105,Private room,2,1.0,1 shared bath,1.0,215.0,10,5.0,5.0,4.9,4.8,5.0,4.7
Alisa,92,2.0,Chinatown,Manhattan,40.717729809692926,-73.99723827838898,Entire home/apt,2,1.0,1 bath,1.0,145.0,14,4.93,5.0,4.93,5.0,5.0,4.87
Beth,79,5.0,Midwood,Brooklyn,40.62202,-73.95375,Private room,2,1.5,1.5 shared baths,1.0,76.0,122,4.97,4.98,4.86,5.0,4.87,4.94
Evelyn,95,4.0,Wakefield,Bronx,40.89757,-73.85753,Private room,2,1.0,1 shared bath,1.0,89.0,3,5.0,5.0,5.0,5.0,5.0,5.0
Sufia,0,3.0,Jamaica,Queens,40.71053,-73.79014,Entire home/apt,3,1.0,1 bath,1.0,115.0,21,4.52,4.43,4.38,4.71,4.48,4.33
Giampiero,100,7.0,Upper East Side,Manhattan,40.76638,-73.96564,Entire home/apt,4,1.0,1 bath,2.0,425.0,64,4.94,4.89,4.94,4.94,5.0,4.8
Stanley,95,86.0,Murray Hill,Manhattan,40.7504,-73.9757,Entire home/apt,3,1.0,1 bath,1.0,160.0,2,4.5,4.0,4.5,5.0,5.0,4.0
Michael,52,164.0,Hell's Kitchen,Manhattan,40.75547830962138,-73.99408040620987,Entire home/apt,8,1.0,1 bath,3.0,197.0,0,3.0,2.0,2.0,4.0,4.0,2.0
Carla,33,1.0,Fort Greene,Brooklyn,40.68734,-73.97742,Entire home/apt,1,1.0,1 bath,1.0,92.0,4,4.75,5.0,4.5,4.5,5.0,5.0
Helen,0,2.0,Sunnyside,Queens,40.74291,-73.9158,Shared room,1,1.0,1 shared bath,1.0,40.0,7,3.86,4.29,3.57,4.14,4.86,4.0
Kristopher,100,1.0,Bedford-Stuyvesant,Brooklyn,40.6834626594385,-73.92192679303639,Private room,4,1.0,1 private bath,1.0,136.0,188,4.96,4.94,4.93,4.97,4.89,4.93
Kristina,38,35.0,Bushwick,Brooklyn,40.70048,-73.91977,Private room,1,1.0,1 shared bath,1.0,39.0,5,4.6,4.6,4.6,5.0,4.8,4.2
Fernando,100,15.0,Midtown,Manhattan,40.74803,-73.98822,Entire home/apt,6,1.0,1 bath,0.0,242.0,1,5.0,4.0,5.0,5.0,5.0,4.0
Rafael,100,2.0,East New York,Brooklyn,40.6676489,-73.8573093,Entire home/apt,2,1.0,1 bath,1.0,325.0,11,4.92,4.92,4.83,4.92,4.5,4.92
Nomad,95,59.0,Midtown,Manhattan,40.74808,-73.98822,Entire home/apt,6,1.0,1 bath,0.0,182.0,163,4.62,4.75,4.66,4.87,4.85,4.58
Sarah,47,2.0,Upper West Side,Manhattan,40.78518,-73.97504,Entire home/apt,2,1.0,1 bath,1.0,274.0,5,5.0,5.0,5.0,5.0,5.0,5.0
Nicole,97,5.0,Crown Heights,Brooklyn,40.66738,-73.94191,Private room,4,2.5,2.5 shared baths,2.0,105.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Fenix,71,28.0,Nolita,Manhattan,40.721404906681805,-73.99423107529344,Entire home/apt,2,1.0,1 bath,0.0,189.0,5,5.0,5.0,5.0,5.0,5.0,5.0
Andrzej,100,4.0,Woodhaven,Queens,40.694641096921984,-73.86183637154954,Entire home/apt,1,1.0,1 bath,1.0,70.0,3,5.0,5.0,5.0,5.0,5.0,4.67
Imani,63,3.0,Bedford-Stuyvesant,Brooklyn,40.69007,-73.95647,Entire home/apt,1,1.0,1 bath,1.0,115.0,13,4.85,4.85,4.85,4.85,4.69,4.92
Daniel,100,3.0,East Elmhurst,Queens,40.76911,-73.87053,Entire home/apt,4,1.0,1 bath,1.0,103.0,197,4.9,4.95,4.91,4.93,4.82,4.85
Urban Furnished,69,357.0,Gramercy,Manhattan,40.7345257,-73.98099859999999,Entire home/apt,3,1.0,1 bath,1.0,130.0,1,5.0,5.0,5.0,5.0,3.0,5.0
Feige,61,8.0,Crown Heights,Brooklyn,40.6703032,-73.9386687,Entire home/apt,5,1.0,1 bath,4.0,136.0,32,4.63,4.66,4.59,4.75,4.59,4.59
Emily,94,3.0,East Village,Manhattan,40.7281581074996,-73.98439419512215,Entire home/apt,3,1.0,1 bath,0.0,255.0,1,4.0,3.5,3.5,4.0,5.0,4.0
Bridge,65,16.0,Upper East Side,Manhattan,40.76048,-73.96175,Entire home/apt,2,1.0,1 bath,0.0,90.0,3,3.67,3.33,3.67,3.67,4.67,3.67
Nomad,95,59.0,Midtown,Manhattan,40.74639,-73.987,Entire home/apt,4,1.0,1 bath,0.0,165.0,3,5.0,5.0,5.0,5.0,5.0,5.0
Jasmina,100,3.0,Astoria,Queens,40.76408,-73.91262,Private room,2,1.0,1 shared bath,1.0,45.0,112,4.79,4.86,4.41,4.92,4.79,4.88
Stephanie,100,1.0,Crown Heights,Brooklyn,40.67316397256876,-73.9579749113999,Private room,2,1.0,1 private bath,1.0,314.0,122,4.95,4.95,4.96,4.99,4.91,4.82
Gladys,88,1.0,Astoria,Queens,40.76077,-73.92516,Private room,2,1.0,1 private bath,1.0,156.0,63,4.7,4.83,4.81,4.81,4.88,4.75
Matthew,100,2.0,East Flatbush,Brooklyn,40.63711,-73.94912,Entire home/apt,6,1.0,1 bath,2.0,105.0,74,4.78,4.74,4.78,5.0,4.68,4.68
Jeniffer,38,161.0,Little Italy,Manhattan,40.71896,-73.99774,Entire home/apt,2,1.0,1 bath,0.0,95.0,9,4.44,4.89,4.67,4.11,5.0,4.22
Ashley,98,1.0,Bushwick,Brooklyn,40.69316241984792,-73.92025019660234,Private room,2,1.0,1 private bath,1.0,77.0,41,4.61,4.71,4.22,4.63,4.56,4.61
Tulsi,89,6.0,Harlem,Manhattan,40.80619,-73.94704,Entire home/apt,2,1.0,1 bath,1.0,115.0,2,5.0,4.5,5.0,5.0,4.5,4.5
Outpost Club,62,15.0,Bedford-Stuyvesant,Brooklyn,40.68982,-73.94195,Private room,2,2.0,2 shared baths,1.0,40.0,2,4.0,4.0,3.5,3.0,4.5,4.5
Aka,100,35.0,Midtown,Manhattan,40.76408526165674,-73.97450845226469,Private room,2,1.0,1 bath,1.0,415.0,4,5.0,4.75,5.0,5.0,5.0,4.75
Robert,63,1.0,East Village,Manhattan,40.72692,-73.98794,Entire home/apt,2,1.0,1 bath,1.0,170.0,129,4.78,4.8,4.94,4.67,4.95,4.69
Sarwara,98,6.0,Bedford-Stuyvesant,Brooklyn,40.68977201306364,-73.95926024415037,Private room,2,1.0,1 bath,1.0,82.0,1,1.0,1.0,1.0,1.0,1.0,1.0
Joanna,92,2.0,Bushwick,Brooklyn,40.68725854751372,-73.91322826493997,Private room,6,1.0,1 private bath,2.0,200.0,34,4.85,4.85,4.82,4.91,4.82,4.79
Emi,87,14.0,Crown Heights,Brooklyn,40.67404404802367,-73.9167882244762,Private room,4,1.0,1 shared bath,1.0,99.0,3,5.0,5.0,5.0,5.0,5.0,5.0
Rashmi,67,2.0,Harlem,Manhattan,40.82473,-73.93978,Private room,2,1.0,1 shared bath,1.0,164.0,44,4.89,4.86,4.75,4.95,4.8,4.84
Jennifer,84,14.0,Elmhurst,Queens,40.74052,-73.8792,Private room,2,2.0,2 baths,1.0,149.0,6,4.83,5.0,4.67,5.0,5.0,4.83
Lee And Lu,91,18.0,Corona,Queens,40.74825107499732,-73.85482105620378,Shared room,1,1.0,1 shared bath,1.0,59.0,2,3.0,3.5,3.0,3.5,5.0,3.0
Bridge,65,16.0,Upper East Side,Manhattan,40.75996,-73.96085,Entire home/apt,2,1.0,1 bath,0.0,90.0,5,5.0,5.0,5.0,4.6,4.8,4.8
Shawn,100,2.0,Flatbush,Brooklyn,40.650478,-73.964928,Entire home/apt,2,2.0,2 baths,2.0,220.0,22,4.36,4.55,4.05,4.59,4.55,4.5
Hollie,100,2.0,Chelsea,Manhattan,40.74137,-73.99831,Entire home/apt,4,2.0,2 baths,2.0,499.0,1,5.0,5.0,5.0,5.0,5.0,4.0
Maney,100,2.0,Murray Hill,Manhattan,40.75016225033459,-73.97587302406032,Entire home/apt,5,1.5,1.5 baths,2.0,379.0,39,5.0,4.97,4.97,4.97,4.97,4.82
Sylvie,100,1.0,St. Albans,Queens,40.70482,-73.75987,Entire home/apt,2,1.0,1 bath,1.0,91.0,9,4.67,4.56,4.89,4.89,4.67,4.67
Lasata,100,4.0,Sunnyside,Queens,40.73871,-73.92499,Entire home/apt,6,1.0,1 bath,3.0,147.0,230,4.82,4.89,4.8,4.97,4.72,4.83
Joslin,100,1.0,Crown Heights,Brooklyn,40.67742,-73.9468,Private room,2,1.0,1 private bath,1.0,130.0,98,4.88,4.87,4.87,5.0,4.73,4.65
Lucas And Natasha,100,7.0,Astoria,Queens,40.77117,-73.92069,Private room,2,2.0,2 shared baths,1.0,93.0,15,4.4,4.4,4.4,4.8,4.53,4.47
Miloš,100,1.0,Harlem,Manhattan,40.82256,-73.94024,Private room,2,1.0,1 shared bath,1.0,124.0,25,5.0,5.0,4.88,5.0,4.8,4.96
Ashleigh,95,1.0,Williamsburg,Brooklyn,40.71419,-73.94438,Entire home/apt,2,1.0,1 bath,0.0,98.0,28,4.82,4.71,4.96,4.89,4.96,4.71
Isaac,99,18.0,Chelsea,Manhattan,40.74763,-73.99098,Entire home/apt,2,1.0,1 bath,0.0,89.0,3,3.67,4.33,4.67,4.67,5.0,3.67
Daniel,99,12.0,Long Island City,Queens,40.75093,-73.9353,Entire home/apt,2,1.0,1 bath,0.0,115.0,34,4.71,4.74,4.59,4.76,4.47,4.44
Hudson,98,44.0,Hell's Kitchen,Manhattan,40.75596301817509,-73.99609147748335,Entire home/apt,10,2.0,2 baths,5.0,514.0,32,4.24,4.39,4.21,4.52,4.73,4.45
Sandra And Jorge,98,1.0,Soundview,Bronx,40.82234,-73.87699,Entire home/apt,2,1.0,1 bath,1.0,70.0,47,4.96,4.89,4.89,4.98,4.74,4.87
Smyth Tribeca,80,15.0,Tribeca,Manhattan,40.71641,-74.00968,Private room,2,1.0,1 private bath,1.0,442.0,2,5.0,5.0,5.0,5.0,5.0,4.5
Ikkyukim,95,7.0,Hunts Point,Bronx,40.81336593706555,-73.88916667535372,Private room,1,2.0,2 shared baths,1.0,40.0,3,4.0,4.0,4.0,4.33,4.0,3.67
Stay With Vibe,74,330.0,Upper West Side,Manhattan,40.78328,-73.97485,Entire home/apt,2,1.0,1 bath,0.0,110.0,8,4.75,4.75,4.63,4.88,5.0,4.5
Shemi,100,17.0,Prospect-Lefferts Gardens,Brooklyn,40.660794,-73.942335,Entire home/apt,5,1.0,1 bath,2.0,319.0,13,4.62,4.92,4.46,5.0,4.54,4.62
Caitlin,21,2.0,Crown Heights,Brooklyn,40.67954,-73.95738,Entire home/apt,5,1.0,1 bath,2.0,429.0,4,4.5,4.5,4.25,4.5,4.75,4.0
Jennifer,96,1.0,Woodhaven,Queens,40.69242,-73.84917,Private room,2,1.0,1 private bath,1.0,80.0,64,4.91,4.94,4.98,4.98,4.72,4.97
Reservation Desk,97,26.0,Gramercy,Manhattan,40.73603,-73.98525,Private room,1,4.0,4 shared baths,1.0,77.0,9,4.67,4.56,4.67,4.78,4.67,4.78
Wempy,100,3.0,Flushing,Queens,40.752423082956014,-73.83372426403265,Entire home/apt,4,1.0,1 bath,1.0,175.0,73,4.97,4.99,4.97,4.96,4.89,4.92
Deborah,100,4.0,Gramercy,Manhattan,40.7335,-73.98242,Entire home/apt,3,1.0,1 bath,1.0,145.0,6,5.0,5.0,5.0,5.0,5.0,5.0
Aloe,100,6.0,Carroll Gardens,Brooklyn,40.67634,-73.99931,Private room,2,1.0,1 private bath,0.0,95.0,38,4.71,4.89,4.68,4.74,4.74,4.71
Beaubelle,100,1.0,Tribeca,Manhattan,40.719345104975496,-74.01086979886733,Entire home/apt,9,2.0,2 baths,3.0,640.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Rose,100,5.0,East Harlem,Manhattan,40.80588188717073,-73.93956910797718,Entire home/apt,4,1.0,1 bath,2.0,215.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Wendy,0,3.0,East Village,Manhattan,40.7273843,-73.9874861,Entire home/apt,2,1.0,1 bath,1.0,200.0,2,5.0,5.0,5.0,5.0,5.0,5.0
Gal,71,12.0,Upper East Side,Manhattan,40.77783,-73.95188,Private room,1,1.0,1 shared bath,1.0,55.0,6,4.17,3.17,3.83,4.5,5.0,3.83
Justa,100,8.0,Cypress Hills,Brooklyn,40.68742,-73.87588,Entire home/apt,3,1.0,1 bath,3.0,119.0,57,4.84,4.88,4.86,4.98,4.51,4.77
Anastasia,87,14.0,Bedford-Stuyvesant,Brooklyn,40.68074,-73.94437,Shared room,2,2.0,2 shared baths,1.0,33.0,5,5.0,4.6,4.6,4.6,4.8,4.4
Tny,94,15.0,Upper East Side,Manhattan,40.7614,-73.96526,Entire home/apt,4,1.0,1 bath,1.0,163.0,11,4.91,4.91,4.82,5.0,4.82,4.45
Yanchen,100,3.0,Corona,Queens,40.74598,-73.85674,Private room,2,1.0,1 shared bath,1.0,78.0,16,4.5,4.44,4.25,4.63,4.63,4.5
Eric,89,1.0,Bedford-Stuyvesant,Brooklyn,40.69149,-73.93662,Private room,2,1.0,1 private bath,1.0,141.0,344,4.92,4.95,4.9,4.99,4.39,4.87
Ali,88,30.0,Flushing,Queens,40.75745,-73.80817,Entire home/apt,8,1.0,1 bath,0.0,87.0,34,4.82,4.71,4.74,4.85,4.88,4.62
Liqin,99,9.0,Flushing,Queens,40.75922,-73.81958,Private room,2,1.0,1 private bath,1.0,112.0,147,4.86,4.92,4.95,4.93,4.81,4.78
Mike,99,5.0,East Village,Manhattan,40.728916690435376,-73.97684394994904,Entire home/apt,6,2.0,2 baths,2.0,1297.0,2,4.5,4.0,4.5,4.5,5.0,4.0
Jasvir,68,4.0,East Elmhurst,Queens,40.76216,-73.88219,Entire home/apt,6,1.0,1 bath,2.0,95.0,73,4.45,4.56,4.58,4.56,4.49,4.42
Esther,40,2.0,Chelsea,Manhattan,40.7466630752518,-73.9900666146469,Entire home/apt,2,1.0,1 bath,1.0,300.0,4,4.5,4.5,4.25,5.0,5.0,4.75
John,98,3.0,Sunset Park,Brooklyn,40.65105,-74.00434,Private room,2,1.0,1 shared bath,1.0,70.0,23,4.57,4.74,4.13,4.87,4.65,4.65
Elle,70,6.0,Park Slope,Brooklyn,40.67888,-73.97622,Private room,1,2.0,2 shared baths,1.0,90.0,112,4.79,4.79,4.66,4.89,4.89,4.7
Carolyn,92,4.0,Whitestone,Queens,40.78504,-73.82418,Private room,2,1.0,1 private bath,1.0,100.0,111,4.93,4.86,4.93,4.95,4.9,4.8
Maria,100,15.0,Harlem,Manhattan,40.824432390781226,-73.94485332887022,Private room,2,2.0,2 shared baths,1.0,88.0,15,4.4,4.4,4.27,4.8,4.47,4.2
Leslie,61,4.0,Chinatown,Manhattan,40.71714,-73.99515,Entire home/apt,3,1.0,1 bath,1.0,200.0,51,4.84,4.75,4.86,4.94,4.71,4.73
Michael & Aleksandra,100,2.0,Washington Heights,Manhattan,40.83521,-73.93836,Private room,2,2.0,2 shared baths,2.0,99.0,10,4.9,4.7,4.7,4.9,4.7,4.7
Sabrina,96,1.0,Greenpoint,Brooklyn,40.72517,-73.94472,Entire home/apt,2,1.0,1 bath,1.0,162.0,73,4.97,4.99,5.0,4.97,4.97,4.95
Jenae,89,1.0,Harlem,Manhattan,40.80058,-73.95348,Entire home/apt,2,1.0,1 bath,0.0,150.0,24,4.67,4.83,4.38,4.96,4.75,4.17
Vanessa,100,2.0,East New York,Brooklyn,40.6559,-73.87044,Entire home/apt,5,1.0,1 bath,2.0,220.0,24,4.88,4.92,4.88,4.83,4.79,4.88
Oscar,76,2.0,Ridgewood,Queens,40.70065,-73.90352,Private room,1,1.0,1 private bath,1.0,45.0,37,4.84,4.86,4.76,4.95,4.92,4.86
Dana,69,4.0,West Village,Manhattan,40.73948,-74.00504,Private room,2,1.0,1 bath,1.0,74.0,29,4.42,4.46,4.13,4.63,4.88,4.5
Antoinette,39,2.0,Crown Heights,Brooklyn,40.66385,-73.93229,Private room,1,1.0,1 shared bath,1.0,64.0,32,4.84,4.72,4.91,4.88,4.28,4.78
Shogo,89,324.0,Woodside,Queens,40.74533,-73.89134,Private room,2,1.0,1 shared bath,1.0,32.0,9,4.56,4.56,4.0,4.33,4.67,4.56
Fahd,96,1.0,Richmond Hill,Queens,40.6865,-73.83304,Entire home/apt,4,1.0,1 bath,2.0,138.0,28,4.79,4.89,4.71,4.89,4.54,4.64
Seana,95,3.0,Concourse,Bronx,40.81992,-73.92809,Entire home/apt,5,1.0,1 bath,2.0,77.0,112,4.7,4.78,4.74,4.79,4.67,4.72
Ines,100,3.0,Fordham,Bronx,40.86914215599154,-73.89308740736284,Entire home/apt,16,3.0,3 baths,5.0,579.0,2,5.0,5.0,4.5,5.0,4.5,5.0
Milton,100,17.0,Harlem,Manhattan,40.8077357445906,-73.94513204043824,Entire home/apt,4,1.0,1 bath,1.0,190.0,32,4.84,4.94,4.9,4.97,4.65,4.77
Tyler,100,50.0,Chelsea,Manhattan,40.74628,-73.99066,Private room,2,1.0,1 private bath,0.0,238.0,27,4.78,4.74,4.67,4.41,4.85,4.85
Irina,98,17.0,Fresh Meadows,Queens,40.74259,-73.78752,Private room,3,1.0,1 private bath,1.0,107.0,72,4.6,4.71,4.53,4.9,4.77,4.58
Andrew,83,8.0,Ridgewood,Queens,40.70571,-73.91447,Entire home/apt,7,1.0,1 bath,3.0,169.0,4,5.0,4.75,5.0,5.0,5.0,4.5
Nancy,91,1.0,Williamsburg,Brooklyn,40.72139,-73.95413,Entire home/apt,4,3.0,3 baths,2.0,750.0,46,4.98,4.98,4.98,5.0,5.0,4.91
Marc,100,3.0,Sunset Park,Brooklyn,40.66231,-73.99206,Private room,1,1.0,1 shared bath,1.0,47.0,64,4.73,4.86,4.69,4.92,4.89,4.78
Momoyo,80,299.0,Elmhurst,Queens,40.73861,-73.87629,Private room,2,1.0,1 private bath,1.0,36.0,1,1.0,2.0,3.0,2.0,2.0,2.0
Lee,98,8.0,Flatbush,Brooklyn,40.64124,-73.96507,Entire home/apt,2,1.0,1 bath,0.0,92.0,196,4.92,4.94,4.92,4.95,4.92,4.94
