host_name,host_acceptance_rate,host_total_listings_count,neighbourhood,neighbourhood_group,latitude,longitude,room_type,max_capacity,bathrooms,bathrooms_text,bedrooms,price,number_of_reviews,rating,accuracy,cleanliness,communication,location,value
Tawhid,100,13.0,Bedford-Stuyvesant,Brooklyn,40.68858542868746,-73.92874979998358,Entire home/apt,6,1.5,1.5 baths,2.0,235.0,6,4.33,4.33,4.67,4.67,4.5,4.33
Inna,68,57.0,Upper East Side,Manhattan,40.76966908318231,-73.95482232250629,Entire home/apt,3,1.0,1 bath,1.0,135.0,3,5.0,4.33,5.0,5.0,5.0,4.67
Tj,91,3.0,Astoria,Queens,40.75792,-73.92852,Private room,1,2.0,2 shared baths,1.0,46.0,48,4.81,4.85,4.83,4.73,4.88,4.75
Raul,93,3.0,Kips Bay,Manhattan,40.74002,-73.9802,Entire home/apt,4,1.0,1 bath,1.0,145.0,131,4.91,4.89,4.9,5.0,4.92,4.78
Esplanade 99,54,79.0,Upper West Side,Manhattan,40.79764,-73.9701,Private room,2,3.0,3 shared baths,0.0,51.0,1,5.0,5.0,5.0,5.0,5.0,5.0
Stay With Vibe,74,330.0,Upper West Side,Manhattan,40.78562,-73.97402,Entire home/apt,2,1.0,1 bath,1.0,98.0,15,4.53,4.67,4.13,4.8,5.0,4.27
Marcelo,98,15.0,Jamaica,Queens,40.6742,-73.79479,Private room,2,1.0,1 private bath,1.0,67.0,42,4.52,4.69,4.67,4.6,4.52,4.55
Xie,94,8.0,Canarsie,Brooklyn,40.63305,-73.89198,Private room,2,1.0,1 shared bath,1.0,35.0,28,4.29,4.75,4.18,4.5,4.5,4.61
Maya,99,2.0,Elmhurst,Queens,40.74084,-73.88995,Private room,2,1.0,1 private bath,1.0,80.0,302,4.76,4.8,4.74,4.96,4.75,4.68
Eibhlin,53,32.0,Bedford-Stuyvesant,Brooklyn,40.69902,-73.94112,Private room,1,2.0,2 shared baths,1.0,40.0,5,4.6,4.4,3.4,4.8,3.8,4.0
Andreas,100,3.0,Ditmars Steinway,Queens,40.7811510418691,-73.914031896119,Entire home/apt,6,1.0,1 bath,2.0,190.0,25,4.92,4.96,4.88,5.0,4.73,4.69
Kaymarie,100,2.0,East New York,Brooklyn,40.66928,-73.88406,Private room,2,1.0,1 private bath,2.0,150.0,18,4.5,4.78,4.72,4.83,4.22,4.61
Lex And Raun,96,3.0,Bedford-Stuyvesant,Brooklyn,40.68017,-73.91665,Entire home/apt,7,2.0,2 baths,3.0,264.0,76,4.79,4.84,4.84,4.86,4.61,4.71
Aracelis,94,11.0,Jamaica,Queens,40.69091,-73.79589,Private room,1,1.0,1 shared bath,1.0,50.0,12,4.92,4.92,4.92,4.92,4.58,4.83
The Knickerbocker,99,13.0,Theater District,Manhattan,40.75544,-73.98837,Hotel room,2,1.0,1 private bath,1.0,395.0,193,4.56,4.54,4.79,4.55,4.78,4.36
Edgar,65,1.0,Pelham Gardens,Bronx,40.8634,-73.84741,Entire home/apt,4,1.0,1 bath,1.0,140.0,51,4.94,4.94,4.9,4.88,4.82,4.76
Stay With Vibe,74,330.0,Upper East Side,Manhattan,40.76078,-73.96172,Entire home/apt,2,1.0,1 bath,1.0,98.0,7,5.0,4.86,5.0,5.0,4.86,4.57
Rove,88,94.0,Tribeca,Manhattan,40.71952194567768,-74.00924878298464,Entire home/apt,4,1.0,1 bath,2.0,392.0,1,5.0,5.0,5.0,5.0,5.0,5.0
